prod,insp,date,buydate,ingr_A,ingr_B,ingr_C,wtcd,gram,origin,label,A_P,B_P,C_P,ingr_extra,extra_P,duration,date_month,buydate_month,buydate_season,buydate_year
GGMD,L,2023-05-01,2023-06-15,130.4579,5.8835,6.4808,F1,2555.17,오포,0,0.051056446342122044,0.00230258652066203,0.00253634787509246,2412.3478,0.9441046192621234,45,5,6,Summer,2023
KCMD,P,2023-06-15,2023-07-10,395.3306,6.09,6.6279,F3,755.93,오포,0,0.522972497453468,0.00805630150939902,0.008767875332372046,347.88149999999996,0.460203325704761,25,6,7,Summer,2023
KCMD,C,2023-06-08,2023-07-07,401.6854,6.2959,6.8064,F3,796.44,수성,0,0.5043511124504043,0.007905052483551804,0.008546029832755762,381.6523,0.47919780523328814,29,6,7,Summer,2023
KCMD,L,2023-06-21,2023-07-02,405.0937,6.3552,6.7642,F1,773.08,창하,0,0.5239997154240182,0.008220623997516427,0.008749676618202513,354.8669,0.4590299839602628,11,6,7,Summer,2023
KCMD,L,2023-06-27,2023-06-30,398.8254,6.5818,6.6967,F3,756.09,창하,0,0.5274840296790064,0.00870504834080599,0.008857014376595378,343.9861,0.45495390760359217,3,6,6,Summer,2023
KCMD,C,2023-05-05,2023-07-04,131.5202,5.7908,5.8058,F2,488.13,창하,0,0.26943683035257,0.011863233155102125,0.011893962673877859,345.0132,0.70680597381845,60,5,7,Summer,2023
JJBB,C,2023-06-03,2023-07-29,398.7722,6.3364,6.6994,F3,2060.44,창하,0,0.19353739977868803,0.0030752654772766984,0.003251441439692493,1648.632,0.8001358933043428,56,6,7,Summer,2023
KCMD,K,2023-06-05,2023-09-20,399.5938,6.5003,6.8548,F3,792.09,수성,1,0.5044802989559267,0.008206516936206745,0.008654067088335922,379.14110000000005,0.4786591170195307,107,6,9,Fall,2023
GBMD,C,2023-06-10,2023-08-22,397.3727,6.1638,6.8979,F2,969.86,산천,0,0.4097217124121007,0.006355350256738086,0.007112263625677933,559.4256,0.5768106737054833,73,6,8,Summer,2023
KCMD,Y,2023-05-25,2023-05-28,131.5341,7.593937499999999,6.1441,F2,513.52,산천,0,0.2561421171522044,0.014788007283065898,0.011964675183050319,368.2478625,0.7171052003816794,3,5,5,Spring,2023
KCMD,L,2023-06-04,2023-09-19,404.8326,6.4769,6.8383,F2,762.16,오포,0,0.5311648472761625,0.00849808439172877,0.00897226304188097,344.01219999999995,0.4513648052902277,107,6,9,Fall,2023
GBMD,Y,2023-04-17,2023-04-20,333.7603,5.6518,6.3664,F2,907.18,오포,1,0.3679096761392447,0.006230075618951035,0.007017791397517582,561.4014999999999,0.6188424568442866,3,4,4,Spring,2023
KCMD,L,2023-05-05,2023-07-28,130.6951,5.8217,6.0877,F1,487.48,창하,0,0.2681035119389513,0.011942438664150323,0.012488102075982603,344.8755,0.7074659473209157,84,5,7,Summer,2023
GBMD,K,2023-06-04,2023-06-27,393.6392,6.6307,6.6161,F3,989.48,창하,0,0.39782431175971217,0.006701196588106884,0.006686441363140235,582.594,0.5887880502890408,23,6,6,Summer,2023
KCMD,Y,2023-06-05,2023-06-15,396.8033,6.1424,6.7881,F3,773.53,산천,0,0.5129772600933383,0.00794073920856334,0.008775483820924851,363.7962,0.4703065168771735,10,6,6,Summer,2023
KCMD,K,2023-06-11,2023-08-14,393.7077,6.3131,6.7991,F3,761.77,오포,1,0.5168327710463788,0.008287409585570449,0.008925397429670374,354.95009999999996,0.4659544219383803,64,6,8,Summer,2023
JJBB,K,2023-04-09,2023-04-26,318.5679,5.7829,5.7892,F3,1975.1,오포,0,0.16129203584628626,0.002927902384689383,0.002931092096602704,1644.96,0.8328489696724217,17,4,4,Spring,2023
KCMD,K,2023-05-15,2023-06-10,128.2362,6.3785,5.6239,F3,520.58,창하,1,0.24633332052710435,0.012252679703407736,0.01080314264858427,380.3414,0.7306108571209036,26,5,6,Summer,2023
GBMD,P,2023-04-06,2023-05-01,321.0262,5.9325,6.4049,F2,917.78,창하,0,0.34978556952646606,0.006463967399594674,0.0069786877029353435,584.4164,0.6367717753710039,25,4,5,Spring,2023
KCMD,Y,2023-05-09,2023-05-10,131.5494,5.5584,5.9892,F2,515.73,수성,0,0.2550741667151416,0.010777732534465708,0.011613053341864929,372.63300000000004,0.7225350474085278,1,5,5,Spring,2023
KCMD,K,2023-04-29,2023-09-16,325.8562,5.6579,6.1695,F3,675.91,창하,0,0.48209998372564394,0.008370789010371204,0.00912769451554201,338.22639999999996,0.5004015327484428,140,4,9,Fall,2023
GBMD,Y,2023-05-08,2023-06-19,131.4903,7.0404,5.7262,F3,714.2,창하,0,0.18410851302156256,0.009857742929151498,0.008017642117054047,569.9431000000001,0.7980161019322319,42,5,6,Summer,2023
KCMD,L,2023-04-03,2023-06-22,322.1252,5.8071,5.9405,F3,681.4,오포,0,0.472740240680951,0.008522307014969182,0.008718080422659232,347.5272,0.5100193718814207,80,4,6,Summer,2023
KCMD,K,2023-06-26,2023-10-14,402.8855,6.2057,6.7095,F3,767.21,오포,0,0.5251306682655335,0.008088658906948553,0.008745323966058836,351.4093000000001,0.45803534886145914,110,6,10,Fall,2023
GBMD,K,2023-05-11,2023-09-16,128.5221,5.6547,6.5702,F3,705.49,오포,0,0.18217423351146012,0.00801528015988887,0.009312959786814838,564.743,0.8004975265418363,128,5,9,Fall,2023
KCMD,L,2023-04-12,2023-10-28,319.9014,5.9953,6.1832,F3,687.58,오포,0,0.4652569882777277,0.008719421740015706,0.00899269903138544,355.50010000000003,0.5170308909508712,199,4,10,Fall,2023
KCMD,L,2023-04-16,2023-07-10,319.9267,5.9128,5.7737,F3,703.73,산천,0,0.45461569067682206,0.008402086027311611,0.008204424992539752,372.1168,0.5287777983033266,85,4,7,Summer,2023
KCMD,K,2023-04-11,2023-07-29,322.485,6.115,5.8494,F3,674.77,창하,1,0.47791840182580736,0.009062347170146865,0.008668731567793471,340.32059999999996,0.5043505194362523,109,4,7,Summer,2023
GGMD,Y,2023-06-06,2023-07-01,393.9592,7.0249,5.7174,F2,2706.99,수성,1,0.14553404334703862,0.002595096398582928,0.002112087595447342,2300.2884999999997,0.8497587726589311,25,6,7,Summer,2023
JJBB,C,2023-05-06,2023-06-12,131.5373,5.8803,5.7418,F1,1800.56,오포,0,0.0730535500066646,0.0032658173012840453,0.003188896787666059,1657.4006,0.9204917359043853,37,5,6,Summer,2023
KCMD,Y,2023-04-03,2023-06-27,319.385,5.7878,5.7931,F3,702.36,수성,0,0.4547311919813201,0.00824050344552651,0.008248049433339028,371.39410000000004,0.5287802551398144,85,4,6,Summer,2023
KCMD,L,2023-04-10,2023-06-20,319.5251,5.8178,6.4511,F2,709.86,창하,0,0.4501241089792353,0.008195700560673936,0.009087848308117093,378.06600000000003,0.5325923421519737,71,4,6,Summer,2023
JJBB,Y,2023-05-26,2023-06-15,131.5261,5.6421,6.013,F3,1793.75,창하,0,0.07332465505226482,0.0031454216027874565,0.0033521951219512196,1650.5688,0.9201777282229965,20,5,6,Summer,2023
JJBB,Y,2023-06-08,2023-08-12,394.8453,6.3182,6.68,F2,2050.3,오포,0,0.19257928108081743,0.0030815978149539088,0.0032580597961273956,1642.4565000000002,0.8010810613081013,65,6,8,Summer,2023
GBMD,L,2023-05-07,2023-05-08,130.7321,5.9211,6.1918,F1,804.43,수성,0,0.16251519709608048,0.00736061559116393,0.007697127158360579,661.5849999999999,0.822427060154395,1,5,5,Spring,2023
KCMD,K,2023-05-08,2023-06-28,127.7617,5.8432,5.7513,F3,495.98,오포,0,0.2575944594540102,0.011781120206459939,0.011595830477035364,356.6238,0.7190285898624945,51,5,6,Summer,2023
KCMD,C,2023-06-05,2023-07-08,395.9591,6.3319,6.6649,F2,764.78,오포,1,0.5177424880357749,0.0082793744606292,0.008714793796908916,355.8241,0.46526334370668687,33,6,7,Summer,2023
GGMD,Y,2023-04-19,2023-05-23,327.6694,5.966,5.6369,F3,2702.59,창하,0,0.12124273382200038,0.0022075120532526206,0.0020857399753569724,2363.3177,0.87446401414939,34,4,5,Spring,2023
JJBB,C,2023-06-01,2023-08-23,396.1635,6.4497,6.8327,F3,2059.49,창하,1,0.1923600017480056,0.003131697653302517,0.003317666024112766,1650.0440999999998,0.8011906345745792,83,6,8,Summer,2023
KCMD,C,2023-04-25,2023-05-01,325.8817,6.5291,6.1317,F3,685.52,창하,1,0.47537883650367607,0.009524302719103745,0.008944596802427355,346.97749999999996,0.5061522639747928,6,4,5,Spring,2023
GBMD,C,2023-04-28,2023-09-06,321.8036,5.6769,5.8723,F2,886.08,산천,1,0.36317668833513905,0.0064067578548212345,0.006627279703864211,552.7272,0.6237892741061756,131,4,9,Fall,2023
JJBB,L,2023-05-24,2023-07-14,130.6164,5.9353,6.3157,F3,1839.11,산천,0,0.07102152671672711,0.003227267537015187,0.0034341067146608957,1696.2425999999998,0.9223170990315968,51,5,7,Summer,2023
GBMD,Y,2023-05-18,2023-08-20,131.5628,6.3455,5.8576,F3,725.01,창하,0,0.18146342809064706,0.008752293071819699,0.008079336836733286,581.2441,0.8017049420008,94,5,8,Summer,2023
KCMD,L,2023-05-07,2023-08-03,129.2213,7.119,6.6176,F3,521.12,수성,0,0.2479684141848327,0.013660961007061713,0.012698802579060486,378.1621,0.7256718222290451,88,5,8,Summer,2023
KCMD,C,2023-05-08,2023-05-12,131.544,6.9457,5.9846,F2,532.34,창하,0,0.2471052334973889,0.01304748844723297,0.011242063342976293,387.86570000000006,0.7286052147124019,4,5,5,Spring,2023
JJBB,C,2023-06-11,2023-06-23,401.2266,6.2199,6.9247,F3,2062.36,창하,1,0.19454731472681783,0.0030159138074826895,0.00335765821680017,1647.9888,0.7990791132488994,12,6,6,Summer,2023
GBMD,L,2023-06-29,2023-07-12,398.3114,6.1343,6.4944,F2,998.48,창하,1,0.3989177549875811,0.006143638330261998,0.006504286515503565,587.5399,0.5884343201666533,13,6,7,Summer,2023
GBMD,C,2023-06-29,2023-07-26,398.6167,6.3156,6.5376,F2,971.73,산천,0,0.41021343377275576,0.006499336235374024,0.006727794757803093,560.2601,0.576559435234067,27,6,7,Summer,2023
KCMD,L,2023-04-02,2023-05-02,311.8874,5.6644,6.0358,F3,698.12,수성,0,0.4467532802383545,0.008113791325273591,0.008645791554460552,374.5324,0.5364871368819114,30,4,5,Spring,2023
JJBB,C,2023-05-07,2023-05-08,131.5457,6.9106,5.6024,F2,1781.36,오포,0,0.07384565725063998,0.0038793955180311673,0.003145012799209593,1637.3012999999999,0.9191299344321192,1,5,5,Spring,2023
KCMD,C,2023-06-22,2023-07-10,397.6776,6.1337,6.838,F3,761.48,오포,1,0.5222430004727635,0.008054971896832484,0.008979881283815726,350.83070000000004,0.46072214634658826,18,6,7,Summer,2023
KCMD,K,2023-06-04,2023-06-13,398.8718,6.2918,6.6318,F3,780.95,수성,0,0.5107520327805877,0.008056597733529675,0.008491964914527177,369.1546,0.4726994045713554,9,6,6,Summer,2023
JJBB,L,2023-05-15,2023-07-09,130.6535,6.3093,6.0408,F1,1782.05,수성,0,0.07331640526360092,0.0035404730507000368,0.0033898038775567467,1639.0464,0.9197533178081423,55,5,7,Summer,2023
GBMD,K,2023-05-09,2023-06-03,129.4209,5.6943,6.5856,F3,709.6,산천,0,0.182385710259301,0.008024661781285232,0.009280721533258174,567.8992000000001,0.8003089064261556,25,5,6,Summer,2023
GBMD,K,2023-06-15,2023-10-25,396.5896,6.4244,6.8448,F3,968.87,산천,0,0.4093321085388133,0.006630817343916109,0.007064724885691579,559.0111999999999,0.5769723492315789,132,6,10,Fall,2023
KCMD,Y,2023-04-10,2023-05-23,327.9235,7.4978,5.6801,F2,703.04,산천,0,0.4664364758761948,0.010664827036868458,0.008079341147018663,361.9386,0.5148193559399181,43,4,5,Spring,2023
GBMD,K,2023-04-13,2023-05-08,313.7658,7.0017,6.3182,F2,905.16,창하,1,0.3466412567943789,0.007735317512925891,0.006980202395156658,578.0743,0.6386432232975385,25,4,5,Spring,2023
KCMD,L,2023-04-28,2023-05-27,332.1934,6.9975,5.6554,F2,705.9,산천,0,0.4705955517778722,0.009912877178070548,0.00801161637625726,361.0537,0.5114799546677999,29,4,5,Spring,2023
KCMD,Y,2023-04-25,2023-04-29,316.8979,7.1063,6.0999,F2,675.92,창하,0,0.468839359687537,0.010513522310332585,0.009024588708722926,345.8159,0.5116225292934076,4,4,4,Spring,2023
KCMD,K,2023-05-03,2023-05-16,128.028,5.8391,6.3943,F3,505.65,산천,0,0.25319489765648173,0.011547710867200633,0.012645703549886287,365.3886,0.7226116879264314,13,5,5,Spring,2023
KCMD,P,2023-04-06,2023-04-29,323.1562,5.8248,6.4346,F3,701.6,산천,1,0.46059891676168757,0.008302166476624857,0.009171322690992018,366.18440000000004,0.5219275940706956,23,4,4,Spring,2023
KCMD,L,2023-04-07,2023-06-09,328.123,5.8748,5.2573,F3,718.81,수성,0,0.45648085029423635,0.008172952518746262,0.007313893796691754,379.5549,0.5280323033903257,63,4,6,Summer,2023
JJBB,Y,2023-06-09,2023-06-16,399.3519,6.4394,7.0274,F2,2100.17,산천,1,0.19015217815700633,0.003066132741635201,0.003346110076803306,1687.3513,0.8034355790245551,7,6,6,Summer,2023
GBMD,K,2023-04-26,2023-05-17,321.8887,6.806,5.8125,F2,1003.1,수성,0,0.3208939288206559,0.00678496660352906,0.00579453693549995,668.5928000000001,0.6665265676403151,21,4,5,Spring,2023
JJBB,K,2023-05-09,2023-07-12,128.873,7.1655,6.2394,F3,1783.88,오포,0,0.07224308810009641,0.004016806063188106,0.0034976567930578286,1641.6021,0.9202424490436576,64,5,7,Summer,2023
JJBB,L,2023-04-15,2023-05-03,326.8479,6.4045,5.519,F1,1987.03,수성,1,0.16449067200797168,0.0032231521416385255,0.0027775121663990983,1648.2586000000001,0.8295086636839908,18,4,5,Spring,2023
KCMD,C,2023-05-09,2023-06-01,131.5464,5.73,5.6957,F3,516.65,수성,0,0.2546141488435111,0.011090680344527244,0.011024291106164716,373.6779,0.7232708797057971,23,5,6,Summer,2023
JJBB,L,2023-06-20,2023-06-24,400.8384,7.4542,5.8911,F2,2105.27,산천,1,0.19039762120773107,0.003540733492616149,0.0027982634056439317,1691.0863,0.8032633818940088,4,6,6,Summer,2023
KCMD,K,2023-05-08,2023-11-02,128.2172,5.9505,5.7997,F3,494.72,오포,0,0.25917124838292366,0.012028015847347993,0.011723196959896506,354.75260000000003,0.7170775388098318,178,5,11,Fall,2023
KCMD,Y,2023-04-25,2023-09-21,314.6905,5.8158,5.8495,F2,669.63,오포,0,0.46994683631259054,0.008685094753819273,0.008735421053417559,343.2742,0.5126326478801726,149,4,9,Fall,2023
JJBB,Y,2023-04-17,2023-06-29,325.8677,6.8933,6.2088,F3,1978.74,수성,0,0.1646844456573375,0.00348368153471401,0.0031377543285120834,1639.7702,0.8286941184794364,73,4,6,Summer,2023
KCMD,C,2023-05-15,2023-07-08,131.5986,5.7038,6.2253,F2,523.55,수성,0,0.251358227485436,0.010894470442173624,0.011890554865819884,380.0223,0.7258567472065706,54,5,7,Summer,2023
KCMD,L,2023-06-15,2023-06-21,393.5515,6.4533,6.7782,F1,766.73,산천,0,0.5132856416209095,0.008416652537399084,0.00884040014085793,359.947,0.4694573057008334,6,6,6,Summer,2023
JJBB,L,2023-04-29,2023-06-09,323.8601,6.751,6.0865,F3,1985.55,창하,0,0.16310850897736143,0.003400065473042734,0.0030653974969152126,1648.8524,0.8304260280526806,41,4,6,Summer,2023
JJBB,L,2023-05-15,2023-06-08,130.2838,6.0285,5.8505,F1,1832.3,산천,1,0.07110396769088033,0.0032901271625825467,0.003192981498662883,1690.1372,0.9224129236478742,24,5,6,Summer,2023
KCMD,K,2023-06-03,2023-06-08,399.1716,6.2743,6.7708,F3,772.29,오포,0,0.5168674979606107,0.008124279739476103,0.008767172953165262,360.07329999999996,0.4662410493467479,5,6,6,Summer,2023
KCMD,C,2023-06-12,2023-08-30,401.4142,6.2288,6.8276,F2,788.58,수성,0,0.5090342133962311,0.007898754723680538,0.008658094296076491,374.10940000000005,0.4744089375840118,79,6,8,Summer,2023
GBMD,C,2023-06-28,2023-07-31,397.2649,6.252,6.9592,F3,974.98,오포,0,0.4074595376315412,0.006412439229522657,0.007137787441793678,564.5038999999999,0.5789902356971425,33,6,7,Summer,2023
GBMD,L,2023-06-08,2023-06-15,396.9348,6.3864,6.6952,F3,986.41,창하,0,0.40240346306302655,0.006474386918218591,0.006787441327642664,576.3936,0.5843347086911123,7,6,6,Summer,2023
GBMD,Y,2023-06-11,2023-06-15,392.5913,6.1576,6.903,F3,1060.77,수성,1,0.3701003044957908,0.005804839880464192,0.006507536977855708,655.1180999999999,0.6175873186458892,4,6,6,Summer,2023
KCMD,L,2023-05-02,2023-07-27,128.8392,7.1318,6.3959,F2,521.76,창하,1,0.24693192272309109,0.01366873658386998,0.012258318000613309,379.3931,0.7271410226924256,86,5,7,Summer,2023
JJBB,K,2023-06-18,2023-09-12,396.1125,6.1049,6.9019,F3,2096.38,산천,0,0.18895071504212022,0.0029121151699596443,0.0032922943359505433,1687.2607,0.8048448754519696,86,6,9,Fall,2023
GBMD,P,2023-06-15,2023-10-12,397.2788,6.42,6.8542,F2,965.5,산천,0,0.41147467633350593,0.006649404453650958,0.007099119627136198,554.947,0.5747767995857069,119,6,10,Fall,2023
KCMD,C,2023-05-06,2023-05-22,131.493,5.8166,6.2842,F2,503.62,산천,0,0.26109566736825385,0.011549581033318773,0.01247805885389778,360.0262,0.7148766927445296,16,5,5,Spring,2023
KCMD,C,2023-04-29,2023-06-28,324.5928,6.5209,6.1226,F3,689.09,오포,0,0.4710455818543296,0.009463059977651685,0.008885051299539972,351.85370000000006,0.5106063068684787,60,4,6,Summer,2023
KCMD,C,2023-04-01,2023-04-23,322.1919,6.9575,5.9427,F1,714.54,수성,0,0.45090813670333363,0.009737033616032693,0.0083168192123604,379.4479,0.5310380104682734,22,4,4,Spring,2023
KCMD,L,2023-05-08,2023-06-01,130.8387,5.8372,6.3491,F1,529.85,창하,0,0.24693535906388597,0.011016702840426535,0.011982825327922997,386.82500000000005,0.7300651127677645,24,5,6,Summer,2023
KCMD,L,2023-05-11,2023-05-18,128.8676,6.1411,6.1482,F3,521.95,수성,0,0.24689644601973368,0.011765686368426093,0.011779289203946738,380.79310000000004,0.7295585784078935,7,5,5,Spring,2023
KCMD,Y,2023-06-08,2023-07-19,406.2259,6.4943,6.8905,F3,803.06,창하,1,0.5058475082808259,0.008086942445147313,0.008580305332104701,383.44929999999994,0.4774852439419221,41,6,7,Summer,2023
KCMD,K,2023-06-29,2023-08-29,387.509,6.3914,6.7346,F3,754.04,오포,0,0.5139104026311602,0.00847620815871837,0.008931356426714764,353.405,0.4686820327834067,61,6,8,Summer,2023
JJBB,L,2023-05-23,2023-07-14,130.7667,7.3763,5.4807,F1,1791.16,창하,1,0.0730067107349427,0.004118169231112798,0.0030598606489649163,1647.5363000000002,0.9198152593849797,52,5,7,Summer,2023
GBMD,C,2023-06-07,2023-08-17,411.7077,6.3354,6.9934,F3,983.81,산천,1,0.41848293877882925,0.006439658064057084,0.007108486394730691,558.7735,0.567968916762383,71,6,8,Summer,2023
KCMD,K,2023-05-14,2023-06-09,128.7464,5.9088,6.6403,F3,493.56,오포,0,0.26085258124645433,0.011971796742037443,0.013453886052354324,352.2645,0.7137217359591539,26,5,6,Summer,2023
JJBB,L,2023-04-11,2023-07-29,326.3906,5.8947,5.7688,F1,1986.13,수성,0,0.16433496296818434,0.0029679326126688583,0.0029045430057448402,1648.0759,0.829792561413402,109,4,7,Summer,2023
JJBB,Y,2023-04-12,2023-05-29,330.2868,6.9088,6.2995,F2,1996.06,오포,0,0.16546937466809616,0.0034612186006432676,0.003155967255493322,1652.5648999999999,0.8279134394757672,47,4,5,Spring,2023
KCMD,C,2023-06-07,2023-08-04,398.68,6.4077,6.7767,F2,766.9,오포,0,0.5198591732950841,0.008355326639718347,0.008836484548180989,355.0356,0.46294901551701656,58,6,8,Summer,2023
JJBB,K,2023-05-20,2023-05-28,128.2794,6.3637,6.6944,F3,1774.17,수성,0,0.07230389421532323,0.0035868603346917148,0.0037732573541430637,1632.8325,0.9203359880958419,8,5,5,Spring,2023
KCMD,Y,2023-05-19,2023-08-07,131.5498,5.8976,5.7624,F3,492.19,오포,0,0.26727442654259537,0.011982364534021414,0.01170767386578354,348.98019999999997,0.7090355350575996,80,5,8,Summer,2023
KCMD,C,2023-05-29,2023-06-14,131.5898,5.9077,5.9447,F2,498.15,오포,0,0.2641569808290676,0.011859279333534077,0.011933554150356318,354.70779999999996,0.712050185687042,16,5,6,Summer,2023
GBMD,K,2023-05-24,2023-06-01,128.9631,6.1054,6.0675,F3,794.47,수성,0,0.16232595315115736,0.007684871675456594,0.007637166916308985,653.3340000000001,0.8223520082570771,8,5,6,Summer,2023
KCMD,K,2023-06-28,2023-08-08,389.546,6.5033,6.7155,F3,771.48,산천,0,0.5049333748120496,0.008429641727588531,0.00870469746461347,368.7152,0.4779322859957484,41,6,8,Summer,2023
KCMD,L,2023-04-11,2023-04-30,323.999,5.8057,5.898,F3,710.94,수성,0,0.4557332545643796,0.008166230624243959,0.008296058739134103,375.2373,0.5278044560722424,19,4,4,Spring,2023
GBMD,C,2023-05-28,2023-08-18,131.5594,6.3553,6.2169,F3,726.96,창하,0,0.1809719929569715,0.008742296687575656,0.00855191482337405,582.8284,0.8017337955320787,82,5,8,Summer,2023
KCMD,C,2023-04-12,2023-04-17,315.2174,7.4391,5.9991,F2,695.27,산천,0,0.4533740848878853,0.01069958433414357,0.008628446502797475,366.6144,0.5272978842751737,5,4,4,Spring,2023
JJBB,L,2023-06-08,2023-09-09,396.0844,6.3094,6.9442,F1,2055.17,오포,0,0.1927258572283558,0.0030700136728348507,0.003378893230243727,1645.832,0.8008252358685657,93,6,9,Fall,2023
KCMD,L,2023-05-06,2023-05-11,130.4545,7.1283,6.016,F3,508.23,산천,0,0.256683981661846,0.014025736379198395,0.011837160340790586,364.63120000000004,0.7174531216181651,5,5,5,Spring,2023
JJBB,K,2023-04-06,2023-04-22,322.8607,6.2791,6.4612,F3,1984.13,창하,0,0.16272154546325088,0.0031646615897143833,0.0032564398502114276,1648.529,0.8308573530968233,16,4,4,Spring,2023
JJBB,Y,2023-06-22,2023-08-01,402.8232,6.3155,6.7354,F2,2104.42,산천,1,0.19141768278195415,0.0030010644263027343,0.0032005968390340332,1688.5459,0.802380655952709,40,6,8,Summer,2023
JJBB,K,2023-04-01,2023-05-16,319.4609,7.5318,5.9687,F3,1980.97,수성,0,0.16126488538443287,0.0038020767603749676,0.0030130188745917403,1648.0086000000001,0.8319200189806004,45,4,5,Spring,2023
JJBB,C,2023-06-07,2023-07-19,398.4299,6.218,6.782,F2,2055.72,오포,1,0.19381525694160684,0.0030247309944934136,0.003299087424357403,1644.2900999999997,0.7998609246395423,42,6,7,Summer,2023
JJBB,L,2023-05-06,2023-06-17,127.4573,5.5445,6.4653,F3,1783.88,오포,0,0.07144948090678745,0.0031081126533174875,0.00362429087158329,1644.4129,0.9218181155683117,42,5,6,Summer,2023
GBMD,P,2023-06-29,2023-07-08,394.2904,6.5384,6.6106,F3,983.17,창하,0,0.40103990154296815,0.006650324969232178,0.006723760895877621,575.7306,0.585586012591922,9,6,7,Summer,2023
GBMD,Y,2023-05-06,2023-05-18,131.5861,5.4592,6.4474,F3,801.5,수성,1,0.16417479725514658,0.006811228945726762,0.008044167186525265,658.0073,0.8209698066126013,12,5,5,Spring,2023
GBMD,L,2023-04-21,2023-05-26,324.3722,5.5594,6.2502,F3,893.62,산천,0,0.36298672813947763,0.006221212595958013,0.006994248114411047,557.4382,0.6237978111501533,35,4,5,Spring,2023
KCMD,L,2023-05-17,2023-07-02,130.7358,5.8881,5.3433,F3,494.6,오포,0,0.26432632430246666,0.011904771532551556,0.010803275374039628,352.6328,0.712965628790942,46,5,7,Summer,2023
GBMD,L,2023-06-04,2023-06-12,395.2743,6.1322,6.6588,F3,973.18,오포,0,0.40616771820218256,0.0063011981339526095,0.006842310774985101,565.1147,0.5806887728888798,8,6,6,Summer,2023
KCMD,C,2023-05-11,2023-07-27,131.5033,7.593937499999999,6.3345,F3,518.13,산천,0,0.25380367861347536,0.01465643274853801,0.01222569625383591,372.6982625,0.7193141923841507,77,5,7,Summer,2023
GBMD,K,2023-06-19,2023-07-27,397.7643,6.276,6.7269,F3,975.87,오포,1,0.40759968028528387,0.006431184481539549,0.0068932337299025485,565.1028,0.579075901503274,38,6,7,Summer,2023
KCMD,L,2023-04-26,2023-08-29,320.5597,6.1421,6.2047,F3,700.04,산천,0,0.45791626192788987,0.008773927204159763,0.008863350665676248,367.1334999999999,0.524446460202274,125,4,8,Summer,2023
KCMD,Y,2023-06-22,2023-06-23,400.983,6.1299,6.763,F3,759.86,창하,1,0.5277064196036112,0.00806714394756929,0.008900323743847551,345.9841,0.455326112704972,1,6,6,Summer,2023
KCMD,K,2023-04-20,2023-07-28,315.6961,6.3219,6.0729,F3,710.6,창하,1,0.4442669575007036,0.0088965662820152,0.008546158176189136,382.5091,0.538290318041092,99,4,7,Summer,2023
KCMD,Y,2023-04-08,2023-06-15,315.4577,7.1978,6.2418,F3,699.97,산천,0,0.4506731717073589,0.010283012129091246,0.008917239310256153,371.07270000000005,0.5301265768532938,68,4,6,Summer,2023
GBMD,K,2023-06-20,2023-08-09,387.8267,6.5897,6.9449,F3,968.32,산천,0,0.40051501569729014,0.0068052916391275605,0.007172112524785194,566.9587,0.5855075801387971,50,6,8,Summer,2023
