prod,insp,wtcd,origin,ingr_C,ingr_extra,A_P,extra_P,duration,date_month,label
GBMD,Y,F3,창하,5.7262,569.9431000000001,0.1841085130215625,0.7980161019322319,42,5,0
KCMD,L,F3,오포,5.9405,347.5272,0.472740240680951,0.5100193718814207,80,4,0
KCMD,K,F3,오포,6.7095,351.4093000000001,0.5251306682655335,0.4580353488614591,110,6,0
GBMD,K,F3,오포,6.5702,564.743,0.1821742335114601,0.8004975265418363,128,5,0
KCMD,L,F3,오포,6.1832,355.50010000000003,0.4652569882777277,0.5170308909508712,199,4,0
KCMD,L,F3,산천,5.7737,372.1168,0.454615690676822,0.5287777983033266,85,4,0
KCMD,K,F3,창하,5.8494,340.3206,0.4779184018258073,0.5043505194362523,109,4,1
GGMD,Y,F2,수성,5.7174,2300.2885,0.1455340433470386,0.8497587726589311,25,6,1
JJBB,C,F1,오포,5.7418,1657.4006,0.0730535500066646,0.9204917359043852,37,5,0
KCMD,Y,F3,수성,5.7931,371.3941,0.4547311919813201,0.5287802551398144,85,4,0
KCMD,L,F2,창하,6.4511,378.066,0.4501241089792353,0.5325923421519737,71,4,0
JJBB,Y,F3,창하,6.013,1650.5688,0.0733246550522648,0.9201777282229964,20,5,0
JJBB,Y,F2,오포,6.68,1642.4565000000002,0.1925792810808174,0.8010810613081013,65,6,0
GBMD,L,F1,수성,6.1918,661.5849999999999,0.1625151970960804,0.822427060154395,1,5,0
KCMD,K,F3,오포,5.7513,356.6238,0.2575944594540102,0.7190285898624945,51,5,0
KCMD,C,F2,오포,6.6649,355.8241,0.5177424880357749,0.4652633437066868,33,6,1
GGMD,Y,F3,창하,5.6369,2363.3177,0.1212427338220003,0.87446401414939,34,4,0
JJBB,C,F3,창하,6.8327,1650.0440999999998,0.1923600017480056,0.8011906345745792,83,6,1
KCMD,C,F3,창하,6.1317,346.9775,0.475378836503676,0.5061522639747928,6,4,1
GBMD,C,F2,산천,5.8723,552.7272,0.363176688335139,0.6237892741061756,131,4,1
JJBB,L,F3,산천,6.3157,1696.2425999999998,0.0710215267167271,0.9223170990315968,51,5,0
GBMD,Y,F3,창하,5.8576,581.2441,0.181463428090647,0.8017049420008,94,5,0
KCMD,L,F3,수성,6.6176,378.1621,0.2479684141848327,0.7256718222290451,88,5,0
KCMD,C,F2,창하,5.9846,387.86570000000006,0.2471052334973889,0.7286052147124019,4,5,0
JJBB,C,F3,창하,6.9247,1647.9888,0.1945473147268178,0.7990791132488994,12,6,1
GBMD,L,F2,창하,6.4944,587.5399,0.3989177549875811,0.5884343201666533,13,6,1
GBMD,C,F2,산천,6.5376,560.2601,0.4102134337727557,0.576559435234067,27,6,0
KCMD,L,F3,수성,6.0358,374.5324,0.4467532802383545,0.5364871368819114,30,4,0
JJBB,C,F2,오포,5.6024,1637.3013,0.0738456572506399,0.9191299344321192,1,5,0
KCMD,C,F3,오포,6.838,350.83070000000004,0.5222430004727635,0.4607221463465882,18,6,1
KCMD,K,F3,수성,6.6318,369.1546,0.5107520327805877,0.4726994045713554,9,6,0
JJBB,L,F1,수성,6.0408,1639.0464,0.0733164052636009,0.9197533178081424,55,5,0
GBMD,K,F3,산천,6.5856,567.8992000000001,0.182385710259301,0.8003089064261556,25,5,0
GBMD,K,F3,산천,6.8448,559.0111999999999,0.4093321085388133,0.5769723492315789,132,6,0
KCMD,Y,F2,산천,5.6801,361.9386,0.4664364758761948,0.5148193559399181,43,4,0
GBMD,K,F2,창하,6.3182,578.0743,0.3466412567943789,0.6386432232975385,25,4,1
KCMD,L,F2,산천,5.6554,361.0537,0.4705955517778722,0.5114799546677999,29,4,0
KCMD,Y,F2,창하,6.0999,345.8159,0.468839359687537,0.5116225292934076,4,4,0
KCMD,K,F3,산천,6.3943,365.3886,0.2531948976564817,0.7226116879264314,13,5,0
KCMD,P,F3,산천,6.4346,366.1844,0.4605989167616875,0.5219275940706956,23,4,1
KCMD,L,F3,수성,5.2573,379.5549,0.4564808502942363,0.5280323033903257,63,4,0
JJBB,Y,F2,산천,7.0274,1687.3513,0.1901521781570063,0.8034355790245551,7,6,1
GBMD,K,F2,수성,5.8125,668.5928000000001,0.3208939288206559,0.6665265676403151,21,4,0
JJBB,K,F3,오포,6.2394,1641.6021,0.0722430881000964,0.9202424490436576,64,5,0
JJBB,L,F1,수성,5.519,1648.2586,0.1644906720079716,0.8295086636839908,18,4,1
KCMD,C,F3,수성,5.6957,373.6779,0.2546141488435111,0.7232708797057971,23,5,0
JJBB,L,F2,산천,5.8911,1691.0863,0.190397621207731,0.8032633818940088,4,6,1
KCMD,K,F3,오포,5.7997,354.75260000000003,0.2591712483829236,0.7170775388098318,178,5,0
KCMD,Y,F2,오포,5.8495,343.2742,0.4699468363125905,0.5126326478801726,149,4,0
JJBB,Y,F3,수성,6.2088,1639.7702,0.1646844456573375,0.8286941184794364,73,4,0
KCMD,C,F2,수성,6.2253,380.0223,0.251358227485436,0.7258567472065706,54,5,0
KCMD,L,F1,산천,6.7782,359.947,0.5132856416209095,0.4694573057008334,6,6,0
JJBB,L,F3,창하,6.0865,1648.8524,0.1631085089773614,0.8304260280526806,41,4,0
JJBB,L,F1,산천,5.8505,1690.1372,0.0711039676908803,0.9224129236478742,24,5,1
KCMD,K,F3,오포,6.7708,360.0733,0.5168674979606107,0.4662410493467479,5,6,0
KCMD,C,F2,수성,6.8276,374.1094000000001,0.5090342133962311,0.4744089375840118,79,6,0
GBMD,C,F3,오포,6.9592,564.5038999999999,0.4074595376315412,0.5789902356971425,33,6,0
GBMD,L,F3,창하,6.6952,576.3936,0.4024034630630265,0.5843347086911123,7,6,0
GBMD,Y,F3,수성,6.903,655.1180999999999,0.3701003044957908,0.6175873186458892,4,6,1
KCMD,L,F2,창하,6.3959,379.3931,0.246931922723091,0.7271410226924256,86,5,1
JJBB,K,F3,산천,6.9019,1687.2607,0.1889507150421202,0.8048448754519696,86,6,0
GBMD,P,F2,산천,6.8542,554.947,0.4114746763335059,0.5747767995857069,119,6,0
KCMD,C,F2,산천,6.2842,360.0262,0.2610956673682538,0.7148766927445296,16,5,0
KCMD,C,F3,오포,6.1226,351.85370000000006,0.4710455818543296,0.5106063068684787,60,4,0
KCMD,C,F1,수성,5.9427,379.4479,0.4509081367033336,0.5310380104682734,22,4,0
KCMD,L,F1,창하,6.3491,386.8250000000001,0.2469353590638859,0.7300651127677645,24,5,0
KCMD,L,F3,수성,6.1482,380.7931,0.2468964460197336,0.7295585784078935,7,5,0
KCMD,Y,F3,창하,6.8905,383.4493,0.5058475082808259,0.4774852439419221,41,6,1
KCMD,K,F3,오포,6.7346,353.405,0.5139104026311602,0.4686820327834067,61,6,0
JJBB,L,F1,창하,5.4807,1647.5363000000002,0.0730067107349427,0.9198152593849797,52,5,1
GBMD,C,F3,산천,6.9934,558.7735,0.4184829387788292,0.567968916762383,71,6,1
KCMD,K,F3,오포,6.6403,352.2645,0.2608525812464543,0.7137217359591539,26,5,0
JJBB,L,F1,수성,5.7688,1648.0759,0.1643349629681843,0.829792561413402,109,4,0
JJBB,Y,F2,오포,6.2995,1652.5649,0.1654693746680961,0.8279134394757672,47,4,0
KCMD,C,F2,오포,6.7767,355.0356,0.5198591732950841,0.4629490155170165,58,6,0
JJBB,K,F3,수성,6.6944,1632.8325,0.0723038942153232,0.920335988095842,8,5,0
KCMD,Y,F3,오포,5.7624,348.9802,0.2672744265425953,0.7090355350575996,80,5,0
KCMD,C,F2,오포,5.9447,354.7078,0.2641569808290676,0.712050185687042,16,5,0
GBMD,K,F3,수성,6.0675,653.3340000000001,0.1623259531511573,0.8223520082570771,8,5,0
KCMD,K,F3,산천,6.7155,368.7152,0.5049333748120496,0.4779322859957484,41,6,0
KCMD,L,F3,수성,5.898,375.2373,0.4557332545643796,0.5278044560722424,19,4,0
GBMD,C,F3,창하,6.2169,582.8284,0.1809719929569715,0.8017337955320787,82,5,0
KCMD,C,F2,산천,5.9991,366.6144,0.4533740848878853,0.5272978842751737,5,4,0
JJBB,L,F1,오포,6.9442,1645.832,0.1927258572283558,0.8008252358685657,93,6,0
KCMD,L,F3,산천,6.016,364.6312,0.256683981661846,0.7174531216181651,5,5,0
JJBB,K,F3,창하,6.4612,1648.529,0.1627215454632508,0.8308573530968233,16,4,0
JJBB,Y,F2,산천,6.7354,1688.5459,0.1914176827819541,0.802380655952709,40,6,1
JJBB,K,F3,수성,5.9687,1648.0086,0.1612648853844328,0.8319200189806004,45,4,0
JJBB,C,F2,오포,6.782,1644.2900999999997,0.1938152569416068,0.7998609246395423,42,6,1
JJBB,L,F3,오포,6.4653,1644.4129,0.0714494809067874,0.9218181155683116,42,5,0
GBMD,P,F3,창하,6.6106,575.7306,0.4010399015429681,0.585586012591922,9,6,0
GBMD,Y,F3,수성,6.4474,658.0073,0.1641747972551465,0.8209698066126013,12,5,1
GBMD,L,F3,산천,6.2502,557.4382,0.3629867281394776,0.6237978111501533,35,4,0
KCMD,L,F3,오포,5.3433,352.6328,0.2643263243024666,0.712965628790942,46,5,0
GBMD,L,F3,오포,6.6588,565.1147,0.4061677182021825,0.5806887728888798,8,6,0
KCMD,C,F3,산천,6.3345,372.6982625,0.2538036786134753,0.7193141923841507,77,5,0
GBMD,K,F3,오포,6.7269,565.1028,0.4075996802852838,0.579075901503274,38,6,1
KCMD,L,F3,산천,6.2047,367.1334999999999,0.4579162619278898,0.524446460202274,125,4,0
KCMD,Y,F3,창하,6.763,345.9841,0.5277064196036112,0.455326112704972,1,6,1
KCMD,K,F3,창하,6.0729,382.5091,0.4442669575007036,0.538290318041092,99,4,1
KCMD,Y,F3,산천,6.2418,371.07270000000005,0.4506731717073589,0.5301265768532938,68,4,0
GBMD,K,F3,산천,6.9449,566.9587,0.4005150156972901,0.5855075801387971,50,6,0
GBMD,L,F3,오포,6.0775,569.2164,0.1839895944354069,0.7982504066864867,15,5,0
KCMD,K,F3,오포,7.0102,349.5495,0.527045371577575,0.4557359843546283,2,6,0
JJBB,K,F3,산천,5.6923,1688.4879999999998,0.1590495460954313,0.8353268854973162,64,4,0
KCMD,C,F3,오포,6.0476,355.83750000000003,0.263514926868363,0.712958324984973,36,5,0
KCMD,C,F3,창하,6.8617,333.71320000000003,0.533491713598301,0.4485452761461848,44,6,0
KCMD,C,F3,산천,6.6127,365.4167,0.4610588704621873,0.5206256055166125,89,4,0
JJBB,L,F3,산천,6.2507,1694.0700000000002,0.1584072682075108,0.8355627238021959,35,4,0
JJBB,K,F2,수성,6.1528,1644.8978,0.1600743790339344,0.8339871116902344,48,4,1
GBMD,L,F1,수성,5.6214,655.8657000000001,0.3362222133852945,0.652031753290651,32,4,0
KCMD,L,F3,산천,5.9251,365.5178625,0.4645615199886989,0.5163410969063428,45,4,0
KCMD,C,F3,창하,5.9662,347.6186,0.4707805574779497,0.5118587015740726,13,4,0
KCMD,K,F3,수성,6.2144,375.5822,0.4594177630207972,0.5217796362929106,134,4,0
KCMD,Y,F3,산천,6.5681,371.9706,0.2546558900396863,0.7201057012873875,130,5,0
KCMD,L,F3,수성,5.6356,377.5073,0.4527551435423474,0.5294409772379843,6,4,0
GBMD,K,F3,수성,5.858,654.0184999999999,0.322544766785638,0.6650381826871256,23,4,1
KCMD,K,F3,오포,6.9395,345.8643,0.526740073010978,0.4558103032459573,35,6,1
KCMD,P,F3,오포,6.1485,351.87449999999995,0.4621904145458825,0.5176299685192267,154,4,0
KCMD,L,F1,산천,5.8941,366.0482,0.4543789631812339,0.5287345264404674,13,4,0
JJBB,L,F1,창하,5.6487,1703.6297,0.1545330580141536,0.8395738630763468,3,4,0
KCMD,C,F2,창하,6.2663,343.0289,0.4803220093382708,0.5020841322580173,15,4,0
JJBB,L,F3,수성,6.3761,1641.807,0.1621947157126295,0.8311726379417707,19,4,0
GGMD,C,F2,오포,5.5175,2410.1957,0.1193129993054722,0.8764124913184028,1,4,0
KCMD,L,F3,오포,5.9932,355.67729999999995,0.4690192993345555,0.5134132540381366,116,4,0
GGMD,K,F3,수성,6.501,2286.1270000000004,0.1217578248860601,0.8733642521231201,366,4,1
KCMD,K,F3,수성,6.1298,313.7181,0.2836787450773326,0.690203286911755,14,5,0
KCMD,L,F3,수성,6.6487,378.4173,0.4541095527178843,0.5281101109482939,31,4,0
JJBB,Y,F2,오포,5.8522,1640.5357,0.1624096238954876,0.8316658302029312,40,4,0
KCMD,C,F3,오포,6.5527,345.6818,0.2684830485987794,0.7055738574898455,26,5,0
GBMD,C,F3,수성,6.5287,663.3261,0.3279217190792351,0.6592912376257305,21,4,0
GBMD,Y,F3,창하,5.7988,583.6912,0.1809231319368991,0.8027770977458085,27,5,0
KCMD,C,F1,창하,6.4331,384.1164,0.4998370037944206,0.4842189922724922,50,6,0
KCMD,Y,F3,수성,5.9664,375.2191,0.455088551638698,0.5282395258475053,19,4,0
KCMD,Y,F3,창하,6.9343,334.7445,0.5348709793807545,0.4473220370692074,91,6,0
KCMD,C,F3,창하,6.1393,378.0323,0.4551421784391812,0.5282362886886047,19,4,0
JJBB,K,F3,오포,6.2041,1636.2344,0.1632709337120251,0.8298597149667799,69,4,1
GBMD,L,F2,산천,5.7313,562.6255,0.1818216800159621,0.801849186215546,95,5,1
KCMD,C,F3,수성,6.5165,379.98280000000005,0.2507337438282784,0.7243700554740073,19,5,0
KCMD,K,F3,산천,6.7733,365.2507,0.5114557501549907,0.4717538489357305,55,6,0
KCMD,L,F1,산천,5.4817,375.4356,0.2521428571428571,0.7245833172501641,45,5,0
KCMD,Y,F3,산천,6.8925,369.542,0.5114431950170396,0.4716734527167601,42,6,0
GGMD,C,F3,창하,6.6671,2346.2784,0.0527981412072521,0.941546907228906,70,5,0
KCMD,C,F3,오포,6.4184,359.8655,0.4651302536101731,0.5170852791148789,148,4,0
JJBB,L,F3,산천,6.8838,1693.1504000000002,0.1916931064047482,0.8020266307926238,50,6,0
GBMD,C,F1,창하,5.9405,581.1056,0.3482687437648684,0.6370584430533782,34,4,0
KCMD,L,F1,산천,6.9014,365.0461,0.5104249728162378,0.4725393517319939,51,6,0
KCMD,L,F3,산천,7.0317,371.3124,0.5102974105539351,0.472943154462432,39,6,0
KCMD,K,F3,창하,5.9895,337.24819999999994,0.4768970924241745,0.5036336484327165,27,4,1
KCMD,L,F1,창하,6.2441,338.985,0.2716073021470802,0.7032154340836013,43,5,0
KCMD,K,F3,수성,6.4998,374.7436,0.2484203174110434,0.7270645298979473,9,5,0
GGMD,Y,F3,창하,6.7636,2350.6654,0.1430706705966377,0.8522183671767652,32,6,1
GBMD,K,F3,수성,5.869,659.1451,0.32495839161191,0.6632639692490365,90,4,0
KCMD,Y,F2,창하,6.5123,341.61060000000003,0.4793276533235402,0.5018150569225119,48,4,0
GBMD,K,F3,창하,6.823,583.5452,0.1757362437220597,0.8051564655886086,17,5,0
KCMD,C,F2,창하,5.8817,390.6726,0.2463464419475655,0.7315966292134831,20,5,0
KCMD,L,F3,창하,6.2227,380.5534,0.2488872777226589,0.7260806685491872,3,5,0
KCMD,L,F1,창하,6.6728,350.5391,0.5274775079307297,0.4557427583337666,84,6,0
KCMD,C,F3,창하,6.6164,381.9287,0.5020380390227906,0.4817040624566448,44,6,1
JJBB,K,F3,산천,6.855,1692.0327,0.1898403105415948,0.8039267642573086,15,6,0
GBMD,L,F3,오포,6.8326,568.4237,0.3599556538580043,0.6254937497248999,114,4,0
KCMD,K,F3,수성,6.5311,378.8996,0.2476726651830251,0.7269196531348322,64,5,0
JJBB,L,F3,산천,6.2341,1683.9385,0.0702954569116204,0.9227211954169108,46,5,1
GBMD,K,F3,수성,6.3333,654.4007,0.1613818962918299,0.822028816199377,265,5,0
KCMD,C,F2,창하,6.6005,385.3094,0.5054521071845431,0.47844314202697,21,6,0
KCMD,L,F3,창하,6.983,344.0484000000001,0.5299340520475456,0.45287999052245,58,6,0
JJBB,Y,F2,창하,5.6591,1696.068,0.1607319936536317,0.8331170394093752,48,4,0
KCMD,K,F3,산천,6.2415,359.904,0.2559980405094675,0.7196208985663728,23,5,1
KCMD,C,F3,산천,6.9082,376.2653,0.5075076798604351,0.4756650190258271,30,6,1
KCMD,K,F3,창하,6.721,378.597,0.5019890030165337,0.4818778876627592,70,6,0
JJBB,K,F3,오포,6.6914,1634.0594999999998,0.1947197637233137,0.7990276568902623,103,6,0
KCMD,C,F3,산천,6.6611,364.2452,0.5118859036082207,0.4714049800693689,72,6,0
GBMD,C,F3,산천,6.7612,569.1398,0.4053305076090287,0.5812887345521397,49,6,0
JJBB,Y,F2,산천,5.9077,1689.6066,0.1601568567467151,0.8336778688403259,76,4,0
JJBB,L,F3,오포,5.8983,1647.1172,0.0730391192578518,0.9204857494132112,93,5,0
GGMD,L,F3,산천,6.2675,2356.2606,0.1173371753845466,0.8777835064988284,35,4,0
JJBB,L,F1,오포,5.8423,1641.3296999999998,0.1636736087920094,0.8304895412732626,100,4,0
KCMD,K,F3,창하,6.2708,376.8492,0.2486516528126812,0.7284925575101487,98,5,1
KCMD,K,F3,창하,5.7806,379.8635,0.2475045485013885,0.7274988030259504,57,5,0
JJBB,K,F3,산천,5.6911,1689.5094,0.070015845609127,0.9231484678935176,2,5,0
JJBB,C,F3,수성,6.8727,1645.9762,0.1915880309313011,0.802019305263876,17,6,0
JJBB,C,F3,수성,6.8099,1647.8455,0.1929547519446509,0.8006206849641192,12,6,1
KCMD,C,F2,산천,6.8572,369.0072,0.5112649115853269,0.4718098477196302,176,6,1
KCMD,Y,F2,창하,6.1373,354.4035,0.475099462943072,0.5075596133190118,83,4,0
KCMD,L,F3,산천,6.5712,372.8558,0.2489318815976897,0.72753770805284,165,5,0
GGMD,Y,F3,산천,6.3068,2355.1938,0.1206323237200319,0.8747400323125778,5,4,0
KCMD,L,F1,산천,6.7189,368.01,0.5092416237113402,0.4742396907216494,8,6,0
GGMD,K,F3,창하,5.248,2346.8277,0.0516787211887541,0.9435203894970872,52,5,0
JJBB,Y,F3,산천,6.1991,1697.164,0.0714565295325417,0.9218607076511932,111,5,0
GGMD,L,F2,창하,6.6178,2355.6886000000004,0.142343162140925,0.853012771535445,58,6,0
KCMD,Y,F2,오포,5.8462,352.0809,0.2653599677158999,0.7104134382566585,4,5,1
KCMD,L,F2,오포,7.1107,350.1437,0.5200265350037624,0.4622420097955089,17,6,0
KCMD,C,F3,창하,6.1621,336.9511,0.2737807010240612,0.7013385646490716,55,5,0
KCMD,Y,F3,산천,6.826,359.0974999999999,0.5194249725469932,0.4639202893869904,61,6,0
KCMD,L,F1,수성,6.5672,374.4486,0.5065529671001515,0.476937753945307,7,6,0
KCMD,Y,F2,오포,6.0993,352.2376,0.4675080076873799,0.5128379244074311,54,4,0
KCMD,L,F2,산천,5.9279,363.5919,0.4585788611342666,0.5225673345022852,32,4,0
JJBB,K,F3,산천,6.7708,1694.436,0.1878437873087296,0.8059570298564966,73,6,0
KCMD,K,F3,수성,5.9301,373.4964000000001,0.4514749975132508,0.530738209256391,21,4,0
KCMD,C,F3,산천,5.9205,368.0697625,0.4556418157436731,0.5250788360580901,83,4,0
KCMD,C,F3,창하,6.282,383.2054,0.2493178846846164,0.7260840896602686,12,5,0
KCMD,K,F3,산천,6.3002,369.1811,0.2513800420457001,0.7253494312041967,40,5,1
GBMD,C,F2,수성,7.0076,655.7946,0.1643228151701394,0.8192107630040473,104,5,0
KCMD,K,F3,창하,6.6502,348.0807,0.4715720103341069,0.5080654201515085,21,4,0
KCMD,Y,F2,산천,6.2258,374.5482,0.4567427406313717,0.5266796034591859,38,4,1
KCMD,L,F1,창하,6.6594,379.054,0.4978630256298592,0.4855122769715523,69,6,0
GBMD,L,F1,창하,6.6108,580.1182,0.1804710059825635,0.8015228594719317,76,5,0
KCMD,K,F3,산천,6.2492,360.5643,0.4563981436889803,0.5261945624097019,178,4,0
GGMD,K,F3,수성,6.224,2298.8966,0.0530498987928901,0.9419622706450212,72,5,1
GBMD,L,F3,창하,5.9135,577.1505,0.1810074263621951,0.8026458153700665,48,5,0
KCMD,L,F1,창하,6.6288,338.9085,0.5309195570775648,0.4515950004663744,41,6,1
KCMD,P,F2,오포,6.1164,351.2097999999999,0.4729455722100498,0.5096127225503141,44,4,0
KCMD,K,F3,오포,6.9609,354.62449999999995,0.5149052970349267,0.4677436161232457,30,6,0
KCMD,C,F3,창하,6.2405,376.0877,0.2525495016228465,0.7222871574257236,37,5,0
JJBB,L,F1,산천,6.7254,1692.5362,0.070994384868009,0.92180544738605,33,5,0
KCMD,Y,F3,수성,6.4777,374.3490000000001,0.4566074288443707,0.5259040206793852,75,4,1
KCMD,L,F3,수성,6.1426,376.937,0.447220997539573,0.5360843656222889,36,4,1
KCMD,L,F3,산천,6.7135,354.5204,0.5236439119170985,0.4592233160621761,136,6,1
KCMD,P,F3,산천,6.9764,362.5007,0.51748921029646,0.4656279864358013,3,6,0
KCMD,Y,F3,수성,6.6445,376.8201,0.5024499062535872,0.4806194916010867,47,6,0
KCMD,L,F1,산천,6.1657,367.8649,0.2564348319442814,0.7196949955002544,79,5,0
KCMD,L,F1,창하,6.2206,390.6313,0.2438481979115985,0.7309991017627906,36,5,0
GBMD,L,F3,오포,6.2049,563.1064,0.1815327689554274,0.7998443226044715,19,5,0
KCMD,P,F3,오포,5.7573,354.6141,0.4678426663966323,0.5129892805994763,17,4,0
GGMD,C,F3,창하,6.3077,2367.0176,0.119523531066337,0.8760372470354854,17,4,1
KCMD,K,F3,산천,6.6563,361.6921,0.5142690612033195,0.4689990923236515,64,6,0
KCMD,L,F2,산천,5.8664,369.6424,0.2520765520216479,0.7248174438213263,5,5,0
JJBB,L,F3,오포,6.8544,1643.8914,0.1913778699524216,0.8021917286812248,37,6,1
KCMD,L,F3,산천,6.0016,363.25479999999993,0.4676136395900174,0.515679282246387,57,4,0
KCMD,C,F3,산천,6.1464,354.6463,0.470770673167073,0.5115410578545775,27,4,0
KCMD,C,F2,수성,5.7303,375.0998000000001,0.4517059857657299,0.5317999829869283,2,4,0
JJBB,Y,F3,수성,6.774,1643.8096000000005,0.1932105990962916,0.8003903085073232,6,6,0
KCMD,K,F3,오포,6.0296,352.9961,0.2581399504528286,0.7168015676400114,2,5,0
KCMD,L,F3,산천,6.4978,368.5611,0.5105820669473252,0.4730479258650785,43,6,0
KCMD,L,F3,오포,6.2052,353.1262,0.2607995468155701,0.7144254268835478,89,5,0
KCMD,L,F3,창하,5.9589,343.4362,0.2643490104628846,0.7087442474771447,72,5,0
JJBB,L,F1,산천,6.1285,1695.4713000000002,0.1595046182159956,0.8343156822509928,10,4,0
JJBB,L,F3,수성,6.4977,1645.9351,0.0726327004278404,0.9205196163418248,116,5,0
KCMD,Y,F3,산천,5.8574,372.0381,0.2545627140949468,0.7200133537187203,25,5,0
GBMD,L,F3,오포,6.2427,566.8136999999999,0.1817406490843527,0.8015466308421126,7,5,0
JJBB,Y,F3,창하,6.026,1649.9105,0.1957851699528245,0.798311600338696,87,6,0
GBMD,C,F3,수성,5.7541,648.7591,0.3285717911235636,0.658585191050473,25,4,0
KCMD,Y,F2,산천,5.5745,367.6021999999999,0.462056519147245,0.5217620007380701,97,4,0
KCMD,K,F3,산천,6.0051,380.2349,0.2457217998924979,0.7299295477232589,76,5,0
JJBB,Y,F2,오포,6.7702,1652.3669000000002,0.1926663855608545,0.8008447229653756,48,6,0
GBMD,L,F1,수성,5.9678,652.6886,0.3284171753102389,0.6595745583895872,65,4,0
KCMD,K,F3,산천,6.6385,366.7541,0.4622660866361536,0.5196952005781411,104,4,0
KCMD,K,F3,창하,6.1378,342.4437,0.4750864485291948,0.5051835187206798,71,4,0
GBMD,L,F1,산천,6.2238,560.0548000000001,0.3562688952670381,0.6303728966177051,72,4,0
GBMD,Y,F3,수성,6.9255,648.9386000000002,0.3782976106651645,0.6092462094540676,68,6,0
KCMD,C,F3,수성,6.2506,367.9828,0.4568383590562862,0.5248948734773058,166,4,1
KCMD,K,F3,창하,6.3831,389.3709,0.2416413850425978,0.7355363923153938,4,5,0
KCMD,L,F1,창하,7.0556,334.7354999999999,0.5344019209160469,0.4477707474985284,90,6,1
KCMD,C,F3,산천,6.7744,368.249,0.5121005629477994,0.4711476458546571,63,6,0
KCMD,K,F3,수성,6.6973,382.496,0.4948436482500606,0.4883946014275317,92,6,1
KCMD,C,F2,산천,6.9063,365.7105,0.5060663284602043,0.4769369710090115,76,6,0
JJBB,K,F3,수성,5.6833,1648.7253,0.0716585376754996,0.921132192481102,20,5,1
JJBB,C,F2,산천,6.8798,1700.746,0.1892177520839443,0.8045993433564514,25,6,0
KCMD,K,F3,오포,6.25,355.6042,0.258582139186166,0.7166983090473023,30,5,0
KCMD,K,F3,산천,5.9682,363.1544,0.2553618629313073,0.7184916112693891,28,5,0
